date,negative_posts,total_engagement,action_keywords
2025-01-01,2,0.0,1
2025-01-02,1,0.0,0
2025-01-03,1,3.0,0
2025-01-04,5,2.0,1
2025-01-05,1,0.0,0
2025-01-06,0,1.0,0
2025-01-07,2,0.0,0
2025-01-08,2,3.0,1
2025-01-09,1,5.0,1
2025-01-10,3,16.0,0
2025-01-11,6,18.0,8
2025-01-12,2,0.0,1
2025-01-13,1,7.0,1
2025-01-14,5,1.0,2
2025-01-15,1,3.0,0
2025-01-16,8,1978.0,2
2025-01-17,7,602.0,0
2025-01-18,2,1.0,0
2025-01-19,0,43.0,0
2025-01-20,2,17.0,0
2025-01-21,1,1.0,0
2025-01-22,1,22.0,0
2025-01-23,0,21.0,1
2025-01-24,2,8.0,0
2025-01-25,0,4.0,1
2025-01-26,3,5.0,0
2025-01-27,20,5087.0,5
2025-01-28,5,21.0,1
2025-01-29,5,19.0,0
2025-01-30,1,0.0,0
2025-01-31,1,6.0,1
2025-02-01,7,38.0,0
2025-02-02,4,5.0,1
2025-02-03,1,0.0,0
2025-02-04,0,4.0,0
2025-02-05,0,3.0,0
2025-02-06,1,0.0,0
2025-02-07,5,251.0,0
2025-02-08,4,253.0,0
2025-02-09,2,14.0,1
2025-02-10,6,65.0,0
2025-02-11,5,9.0,1
2025-02-12,2,4.0,0
2025-02-13,3,2.0,2
2025-02-14,0,2.0,0
2025-02-15,1,535.0,0
2025-02-16,3,27.0,0
2025-02-17,1,0.0,0
2025-02-18,4,3.0,0
2025-02-19,2,22.0,0
2025-02-20,1,114.0,0
2025-02-21,18,272.0,0
2025-02-22,7,7.0,0
2025-02-23,15,47.0,3
2025-02-24,12,5.0,2
2025-02-25,1,0.0,0
2025-02-26,0,0.0,0
2025-02-27,4,443.0,1
2025-02-28,53,299.0,2
2025-03-01,22,120.0,4
2025-03-02,7,0.0,0
2025-03-03,1,5.0,0
2025-03-04,0,4.0,0
2025-03-05,2,5.0,0
2025-03-06,3,26.0,1
2025-03-07,1,4.0,0
2025-03-08,3,2.0,0
2025-03-09,2,5.0,0
2025-03-10,1,2.0,0
2025-03-11,4,0.0,0
2025-03-12,6,139.0,0
2025-03-13,1,1237.0,1
2025-03-14,1,0.0,0
2025-03-15,2,0.0,1
2025-03-16,1,14.0,0
2025-03-17,3,5420.0,2
2025-03-18,8,14063.0,1
2025-03-19,11,18495.0,1
2025-03-20,28,10443.0,7
2025-03-21,51,11057.0,8
2025-03-22,16,8.0,1
2025-03-23,7,4.0,4
2025-03-24,9,17.0,1
2025-03-25,6,14.0,1
2025-03-26,1,3.0,1
2025-03-27,1,10.0,0
2025-03-28,2,27.0,0
2025-03-29,12,110.0,1
2025-03-30,3,4.0,0
2025-03-31,3,6.0,0
2025-04-01,1,5.0,1
2025-04-02,0,7.0,0
2025-04-03,0,4.0,0
2025-04-04,1,7.0,0
2025-04-05,2,13.0,0
2025-04-06,2,1.0,0
2025-04-07,1,1.0,0
2025-04-08,1,18.0,0
2025-04-09,1,27.0,0
2025-04-10,1,1.0,0
2025-04-11,0,1.0,0
2025-04-12,0,0.0,0
2025-04-13,0,1.0,0
2025-04-14,1,0.0,0
2025-04-15,2,76.0,1
2025-04-16,2,2.0,0
2025-04-17,0,12.0,1
2025-04-18,1,10.0,1
2025-04-19,0,4.0,0
2025-04-20,0,0.0,0
2025-04-21,0,0.0,0
2025-04-22,1,0.0,0
2025-04-23,1,3.0,0
2025-04-24,0,2.0,0
2025-04-25,1,1.0,0
2025-04-26,3,1.0,1
2025-04-27,1,2.0,0
2025-04-28,1,2.0,0
2025-04-29,1,6.0,1
2025-04-30,0,1.0,0
2025-05-01,0,5.0,0
2025-05-02,2,468.0,0
2025-05-03,1,102.0,0
2025-05-04,0,178.0,0
2025-05-05,0,1.0,0
2025-05-06,8,534.0,1
2025-05-07,19,164.0,2
2025-05-08,4,27.0,0
2025-05-09,1,1.0,0
2025-05-10,2,0.0,0
2025-05-11,4,3.0,1
2025-05-12,1,0.0,1
2025-05-13,2,0.0,1
2025-05-14,1,2.0,0
2025-05-15,3,1.0,0
2025-05-16,3,0.0,0
2025-05-18,2,1.0,0
2025-05-19,1,0.0,1
2025-05-20,0,3.0,0
2025-05-21,5,20.0,0
2025-05-22,42,48.0,1
2025-05-23,5,2.0,0
2025-05-24,1,0.0,0
2025-05-25,0,0.0,0
2025-05-26,13,1.0,1
2025-05-27,6,0.0,1
2025-05-29,0,0.0,0
2025-05-30,22,1291.0,2
2025-05-31,8,23.0,1
2025-06-01,4,0.0,0
2025-06-02,1,19.0,1
2025-06-03,44,60467.0,7
2025-06-04,6,38.0,0
2025-06-05,7,27.0,0
2025-06-06,3,8.0,0
2025-06-07,4,2.0,0
2025-06-08,0,0.0,0
2025-06-09,3,1.0,0
2025-06-10,2,60.0,0
2025-06-11,0,5.0,0
2025-06-12,0,7.0,0
2025-06-13,1,45.0,0
2025-06-14,3,2.0,3
2025-06-15,7,506.0,0
2025-06-16,4,2.0,0
2025-06-17,3,4.0,0
2025-06-18,3,387.0,0
2025-06-19,1,0.0,0
2025-06-20,0,12.0,0
2025-06-21,0,10.0,1
2025-06-22,1,8.0,0
2025-06-23,0,3.0,0
2025-06-24,2,8.0,0
2025-06-25,2,4.0,2
2025-06-26,3,54.0,1
2025-06-27,3,8.0,1
2025-06-28,3,1.0,0
2025-06-29,40,52.0,9
2025-06-30,5,10.0,2
2025-07-01,1,6.0,0
2025-07-02,6,17.0,1
2025-07-03,2,15.0,1
2025-07-04,0,0.0,0
2025-07-05,2,4.0,2
2025-07-06,1,2.0,0
2025-07-07,0,0.0,1
2025-07-08,2,0.0,0
2025-07-09,1,1.0,1
2025-07-10,1,0.0,0
2025-07-11,3,2.0,1
2025-07-12,0,0.0,0
2025-07-13,1,16.0,0
2025-07-14,1,5.0,2
2025-07-15,4,3.0,0
2025-07-16,4,9189.0,3
2025-07-17,8,365.0,0
2025-07-18,2,21.0,0
2025-07-19,6,3.0,0
2025-07-20,2,2.0,0
2025-07-21,3,359.0,1
2025-07-22,5,28.0,0
2025-07-23,3,2.0,2
2025-07-24,12,33.0,0
2025-07-25,0,3.0,0
2025-07-26,1,4.0,2
2025-07-27,3,8.0,1
2025-07-28,6,10.0,0
2025-07-29,5,5.0,3
2025-07-30,25,76.0,8
2025-07-31,38,95.0,5
2025-08-01,2,4.0,2
2025-08-02,2,0.0,0
2025-08-03,2,0.0,1
2025-08-04,0,0.0,0
2025-08-06,3,2.0,1
2025-08-07,1,0.0,1
2025-08-08,4,2.0,0
2025-08-09,3,2.0,0
2025-08-10,13,18.0,0
2025-08-11,4,3.0,3
2025-08-12,3,0.0,0
2025-08-13,6,0.0,1
2025-08-14,1,0.0,1
2025-08-15,2,2.0,2
2025-08-16,1,2.0,0
2025-08-17,8,3.0,0
2025-08-18,3,0.0,0
2025-08-19,9,1.0,4
2025-08-20,1,0.0,0
2025-08-21,5,8.0,0
2025-08-22,7,37.0,3
2025-08-23,3,0.0,0
2025-08-24,3,3.0,0
2025-08-25,5,3756.0,0
2025-08-26,7,32.0,1
2025-08-27,1,12.0,0
2025-08-28,0,1.0,1
2025-08-29,48,6128.0,6
2025-08-30,18,60235.0,5
2025-08-31,65,94673.0,9
2025-09-01,26,28.0,10
2025-09-02,25,127.0,13
2025-09-03,6,2.0,2
2025-09-04,25,10136.0,8
2025-09-05,23,12.0,10
2025-09-06,35,160.0,15
2025-09-07,11,8.0,4
2025-09-08,10,16.0,7
2025-09-09,1,9.0,1
2025-09-10,1,6.0,0
2025-09-11,4,50.0,2
2025-09-12,8,55.0,0
2025-09-13,4,2.0,1
2025-09-14,34,17110.0,3
2025-09-15,38,178.0,6
2025-09-16,16,38.0,2
2025-09-17,4,105.0,1
2025-09-18,12,585.0,0
2025-09-19,14,10570.0,4
2025-09-20,10,29.0,1
2025-09-21,13,59.0,1
2025-09-22,3,44.0,0
2025-09-23,13,1152.0,2
2025-09-24,15,2169.0,4
2025-09-25,10,444.0,1
2025-09-26,5,16.0,0
2025-09-27,12,72.0,4
2025-09-28,4,148.0,2
2025-09-29,0,0.0,0
2025-09-30,3,23.0,1
2025-10-01,0,1.0,0
2025-10-02,5,6.0,1
2025-10-03,12,3869.0,0
2025-10-04,38,7263.0,2
2025-10-05,8,19.0,3
2025-10-06,18,4.0,2
2025-10-07,22,6.0,5
2025-10-08,4,252.0,3
2025-10-09,13,6407.0,2
2025-10-10,15,4606.0,0
2025-10-11,27,700.0,5
2025-10-12,28,112.0,5
2025-10-13,11,50.0,2
2025-10-14,4,27.0,0
2025-10-15,30,356.0,5
2025-10-16,40,97.0,8
2025-10-17,42,263736.0,12
2025-10-18,16,149.0,4
2025-10-19,8,37.0,1
2025-10-20,8,40.0,2
2025-10-21,8,23.0,2
2025-10-22,2,10.0,0
2025-10-23,7,5070.0,3
2025-10-24,14,15968.0,13
2025-10-25,4,4349.0,5
2025-10-26,7,2676.0,2
2025-10-27,5,1403.0,0
2025-10-28,1,44.0,0
2025-10-29,1,25.0,1
2025-10-30,4,4.0,0
2025-10-31,5,1.0,0
2025-11-01,2,82.0,0
2025-11-02,65,393.0,21
2025-11-03,48,49.0,8
2025-11-04,27,1693.0,2
2025-11-05,67,7023.0,9
2025-11-06,150,16005.0,23
2025-11-07,58,2724.0,5
2025-11-08,41,93.0,1
2025-11-09,7,19.0,1
2025-11-10,11,25.0,0
2025-11-11,41,163.0,4
2025-11-12,27,643.0,3
2025-11-13,19,12.0,2
2025-11-14,7,2090.0,1
2025-11-15,6,8.0,1
2025-11-16,5,5.0,1
2025-11-17,5,26.0,1
2025-11-18,3,5.0,1
2025-11-19,2,6.0,0
2025-11-20,1,1.0,0
2025-11-21,2,3.0,1
2025-11-22,14,74169.0,2
2025-11-23,23,2812.0,3
2025-11-24,6,967.0,0
2025-11-25,10,39404.0,0
2025-11-26,14,312.0,3
2025-11-27,15,7.0,3
2025-11-28,12,6.0,1
2025-11-29,12,153.0,1
2025-11-30,8,31.0,2
2025-12-01,6,11.0,1
2025-12-02,11,5.0,1
2025-12-03,6,7.0,2
2025-12-04,9,9.0,2
2025-12-05,66,416468.0,6
2025-12-06,88,9763.0,17
2025-12-07,158,4516.0,19
2025-12-08,91,99.0,12
2025-12-09,47,261.0,11
2025-12-10,16,53.0,2
2025-12-11,16,27.0,3
2025-12-12,6,7.0,3
2025-12-13,26,7997.0,3
2025-12-14,92,5401.0,8
2025-12-15,34,900.0,4
2025-12-16,18,122.0,3
2025-12-17,55,1993.0,21
2025-12-18,42,407.0,6
2025-12-19,97,5928.0,13
2025-12-20,62,2686.0,12
2025-12-21,28,138.0,6
2025-12-22,31,163.0,5
2025-12-23,54,342288.0,18
2025-12-24,27,2567.0,5
2025-12-25,36,1071.0,10
2025-12-26,53,258.0,9
2025-12-27,35,93.0,12
2025-12-28,44,2529.0,7
2025-12-29,326,48656.0,101
2025-12-30,644,18626.0,207
2025-12-31,437,6988.0,142
2026-01-01,368,3243.0,115
2026-01-02,455,25543.0,134
2026-01-03,359,2722.0,121
2026-01-04,459,164916.0,111
2026-01-05,604,71707.0,133
2026-01-06,726,215446.0,156
2026-01-07,1943,371550.0,562
2026-01-08,2293,16727.0,785
2026-01-09,171,91.0,51
2026-01-10,2,0.0,19
